uid,title,agency,location,bid_type,blurb,legacy_score,label,note
bidnet:444069287505,"Inland Division Air Operations ¿ Heating, Ventilating and Air Conditioning (HVAC) Maintenance Services",State of California - California Highway Patrol (CHP),California,State & Local Bids,"QUIPMENT TO BE SERVICED: All HVAC Equipment, including: UNIT # MAKE/TYPE MODEL NUMBER SERIAL NUMBER 1 Carrier Wall Unit (Radio Room) UNK UNK 2 Carrier FB4BNF030 4305A74960 3 Carrier 38QR030C 4504X98377",0,ignore,
bidnet:444151284164,HYSTER FORKLIFT J60XNL OR EQUAL,City of Glendale,California,State & Local Bids,No additional specifications were given.,0,ignore,
bidnet:444141030660,"OEM ODYSSEY BATTERIES, HEAVY DUTY AUTOMOTIVE AND EQUIPMENT",Los Angeles Department of Water & Power,California,State & Local Bids,"Pricing requested as a percentage discount off catalog prices for OEM Odyssey batteries, heavy duty automotive and equipment LIST LESS PERCENTAGE DISCOUNT BASED OFF THE MSRP FROM THE ""ODYSSEY"" MFG.",0,ignore,
bidnet:2712851207,Travis AFB - Dorm High Speed Internet,,California,Federal Bids,"Amendment 2- The purpose of this amendment is to extend the proposal due date until September 9, 2026. Dorm Addresses were also added per request from RFI questions. Amendment 1- The purpose of this amendment",0,ignore,
bidnet:444151505978,Resurface Tennis Courts,El Camino Community College District,California,State & Local Bids,"Mobilization and Site Protection  Coordinate all work activities with the District Representative.  Protect adjacent buildings, fencing, landscaping, utilities, and pedestrian areas from damage.",0,ignore,
bidnet:444141706497,"Economic Development Strategy, Advisory, Capacity Building, and Project Delivery",City of Palm Desert,California,State & Local Bids,"The City seeks to augment its existing Economic Development team with experienced, specialized expertise and additional capacity while simultaneously developing the people, processes and systems necessary",0,ignore,
bidnet:444141927602,Mammoth Creek Hatchery Improvements,,Utah,State & Local Bids,"Remodel and upgrades to the existing fish hatchery facility including office upgrades, lighting changes, generator upgrades, RV pad installation, mechanical upgrades, radon mitigation, and window upgrades",0,ignore,
bidnet:444150261089,QUARTERLY PRE-QUALIFICATION FOR PUBLIC WORK,County of San Diego,California,State & Local Bids,The County of San Diego is seeking Statements of Qualifications (SOQ) from firms interested in providing Quarterly Pre-Qualification For Public Works Projects Request For Bids (RFB) with Board of Supervisors,0,ignore,
bidnet:9509858455,Memorial Park Gazebo Rehabilitation or Replacement,City of Edgewater,Colorado,Member Agency Bids,,0,ignore,
bidnet:444146456132,Potholing Services for SCADA Upgrade Project at WWRF,Western Municipal Water District (WMWD),California,State & Local Bids,"Western Municipal Water District (Western) is requesting proposals from qualified firms for potholing services needed to verify the feasibility of constructing a few underground conduit duct banks, that",0,ignore,
bidnet:444148900418,Crossing Guard Services,City of Sunnyvale,California,State & Local Bids,"•Maintain qualified crossing guards at all assigned locations and scheduled times; •Provide sufficient substitute personnel to address absences, vacancies, and other staffing disruptions; •Conduct",0,ignore,
bidnet:444140561545,"CIP 7945 STREETS REHABILITATION ON EXCELSIOR DRIVE BETWEEN PIONEER BOULEVARD AND BLOOMFIELD AVENUE, FRONT STREET BETWEEN PIONEER BOULEVARD AND SAN ANTONIO DRIVE, AND FOSTER ROAD BETWEEN STUDEBAKE",City of Norwalk,California,State & Local Bids,"The Project includes, without limitation, furnishing all necessary labor, materials, equipment and other incidental and appurtenant work necessary to satisfactorily complete the Project, as more specifically",0,ignore,
bidnet:444134924655,AB 1264 - Regulations Development,State of California - Department of Public Health (CDPH),California,State & Local Bids,"The California Department of Public Health (CDPH) is soliciting proposals from firms that are able to provide scientific, analytical, and technical support to the Department for the development of regulations",0,ignore,
bidnet:444146595080,Furniture - North Hollywood Health Center,County of Los Angeles,California,State & Local Bids,"GENERAL REQUIREMENTS: All finishes shall be as specified or equal, including matching specified fabric grade, color and texture and comply with all applicable Fire code requirements. Care and Maintenance",0,ignore,
bidnet:444124823695,After-hours Janitorial Services for the Watsonville DMV Field Office,State of California - Department of Motor Vehicles,California,State & Local Bids,"Daily Tasks 1. High-Touch Surfaces A. The Contractor shall clean and disinfect high-touch surfaces such as, but not limited to, handrails, doors edges between 3’ to 6’ in height and 12” from outer",0,ignore,
bidnet:444150273533,2026-2027 Zone 5 Sidewalk Repair Project,,Utah,State & Local Bids,"The scope of this project will be to provide all the labor, materials, tools and equipment necessary to complete sidewalk repairs throughout the west and north areas of Draper as described in the project",0,ignore,
bidnet:444134522507,Olympian Tanks 1 and 4 Exterior Repainting Project,Santa Clarita Valley Water Agency (SCV Water),California,State & Local Bids,"The project generally consists of complete removal and replacement of all existing exterior paint systems at Olympian Tanks 1 and 4, formerly known as North Oaks Tanks 1 and 4. The work includes, but",0,ignore,
bidnet:444126412452,Perryville Grinder Station Expansion,City of Goodyear,Arizona,State & Local Bids,The Perryville Grinder Station Expansion project will expand the existing grinder station with a second grinder and auger to a size and capacity fit for all of the current flows. The site will be expanded,0,ignore,
bidnet:444137339488,Region 3 - Bridge Scour Mitigation on SH 13,State of Colorado - Department of Transportation,Colorado,State & Local Bids,STA 0131-073 (24354) – Project is in Region 3 in Garfield County. Project work consists of scour mitigation for bridge structure F-05-R on SH 13.,0,ignore,
bidnet:444148973746,UDOT Wide Herbicides and related Products,,Utah,State & Local Bids,"Provide the ability to purchase right of way, industrial sites, and non-crop herbicides and related products.",0,ignore,
bidnet:444147064518,TWO 245 TON CHILLER AND PUMP REPLACEMENT,State of California - Department of General Services,California,State & Local Bids,"The Project scope is to remove and replace existing two 245-ton chillers including the removal and replacement of four existing pumps, piping, valves, variable frequence drives, all power sources and miscellaneous",0,ignore,
